timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1693943468568,15,HTTP Request3-2,302,Found,Credit Managers 2-7,text,true,,1649,264,5,5,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,15,0,0
1693943468583,50,HTTP Request3-3,302,Moved Temporarily,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,2063,352,5,5,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7XPQajaMeYr5UXsLdgWOSr_LXQt8LHNc-LfrB1cIs952ySLXiJ7R-KfCGK-fD6wNdLLaWjUHg,50,0,0
1693943468633,144,HTTP Request3-4,200,OK,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,630476,465,5,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VcgTzexZAcK2EIGZRJ4OHjXLi_KQX_xa2u2ns4-zTemQbd79FLVIeqAZPKfXKnLsRVxunkug&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1393458125%3A1693943468974341,85,0,0
1693943468220,557,Transaction2,,"Number of samples in transaction : 2, number of failing samples : 2",Credit Managers 2-7,,false,,1272594,2649,5,5,null,11,0,0
1693943472459,375,HTTP Request1,200,OK,Credit Managers 2-5,text,false,Test failed: message expected not to contain /OK/,635833,1325,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7WIDP4UBe2Mp2zDreZAtVkfT43A5Kz1vti0Ac5hg3uTGlw9I5ZZQ8-2Q3embVD6PXYW20Ad_A&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-2113173252%3A1693943472960709,12,0,5
1693943472459,12,HTTP Request1-0,301,Moved Permanently,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,12,0,5
1693943472472,53,HTTP Request1-1,302,Moved Temporarily,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,53,0,27
1693943472525,43,HTTP Request1-2,302,Found,Credit Managers 2-5,text,true,,1651,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,43,0,26
1693943472569,49,HTTP Request1-3,302,Moved Temporarily,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,2065,352,4,4,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7VIkeLM9B_wp6NRL17jU1lVvgs6-iq7oTeRsePf-WIgurb6FOhe6cCGMJkMgdhkfIU5snNJug,49,0,0
1693943472619,215,HTTP Request1-4,200,OK,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,630259,466,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7WIDP4UBe2Mp2zDreZAtVkfT43A5Kz1vti0Ac5hg3uTGlw9I5ZZQ8-2Q3embVD6PXYW20Ad_A&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-2113173252%3A1693943472960709,130,0,0
1693943448653,375,Transaction1,,"Number of samples in transaction : 1, number of failing samples : 1",Credit Managers 2-5,,false,,635833,1325,4,4,null,12,23806,5
1693943472835,277,HTTP Request2,200,OK,Credit Managers 2-5,text,false,Test failed: message expected not to contain /OK/,635985,1322,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7XoN1E0MtqH7llgxtIRKHbUJtGqAb-0oaTKW2i1e0-76KMoktfwuwNyADeyidjnueMYTWP2_w&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1996967726%3A1693943473273381,5,0,0
1693943472835,5,HTTP Request2-0,301,Moved Permanently,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,5,0,0
1693943472840,25,HTTP Request2-1,302,Moved Temporarily,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,25,0,0
1693943472865,18,HTTP Request2-2,302,Found,Credit Managers 2-5,text,true,,1649,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,18,0,0
1693943472884,50,HTTP Request2-3,302,Moved Temporarily,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,2063,350,4,4,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7Ve6DHb2Om_tYPznwKrlcrFofdDMM_ApxNdYXojjA0LIK8y0kCaq9AjfaK_6Mjtn4bQPxWG,50,0,0
1693943472934,178,HTTP Request2-4,200,OK,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,630415,465,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7XoN1E0MtqH7llgxtIRKHbUJtGqAb-0oaTKW2i1e0-76KMoktfwuwNyADeyidjnueMYTWP2_w&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1996967726%3A1693943473273381,103,0,0
1693943473112,349,HTTP Request3,200,OK,Credit Managers 2-5,text,false,Test failed: message expected not to contain /OK/,635735,1325,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VVp8kIXEQEKdRjFW3_ZACdzSV2h2_WQvz2dqU985Jt31h-A5LCvbwsJ-SijBwbjFoDC4itRw&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1962871466%3A1693943473542356,6,0,0
1693943473112,6,HTTP Request3-0,301,Moved Permanently,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,6,0,0
1693943473118,23,HTTP Request3-1,302,Moved Temporarily,Credit Managers 2-5,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,23,0,0
